crop_id,motion_state,direction_class,direction_deg,annotator,timestamp_iso
train_227_1890_1,unsure,16,135.0,team,2026-06-22T15:24:37.544322+00:00
valid_222_421_3,moderate,31,202.5,team,2026-06-22T15:24:55.287146+00:00
train_211_10590_0,stationary,25,112.5,team,2026-06-22T15:25:10.200215+00:00
train_241_11948_3,unsure,-2,,team,2026-06-22T15:25:25.971484+00:00
valid_15_1140_2,unsure,-2,,team,2026-06-22T15:25:29.156609+00:00
valid_144_3132_0,unsure,-2,,team,2026-06-22T15:25:31.728786+00:00
test_279_5924_7,unsure,14,90.0,team,2026-06-22T15:25:43.613411+00:00
test_281_8176_1,stationary,15,112.5,team,2026-06-22T15:25:53.618603+00:00
valid_56_4187_4,slight,36,315.0,team,2026-06-22T15:26:10.616107+00:00
valid_177_1026_8,stationary,37,337.5,team,2026-06-22T15:26:40.781158+00:00
train_136_1917_0,unsure,17,157.5,team,2026-06-22T15:26:54.067623+00:00
valid_57_1572_7,unsure,-2,,team,2026-06-22T15:27:08.351086+00:00
train_53_2025_0,unsure,15,112.5,team,2026-06-22T15:27:21.832720+00:00
valid_222_519_1,moderate,30,180.0,team,2026-06-22T15:27:35.819464+00:00
valid_64_11760_0,unsure,10,0.0,team,2026-06-22T15:27:52.686416+00:00
valid_221_2010_3,unsure,-2,,team,2026-06-22T15:28:01.031529+00:00
train_229_712_0,unsure,-2,,team,2026-06-22T15:28:05.622120+00:00
train_81_952_1,unsure,-2,,team,2026-06-22T15:28:12.353203+00:00
train_196_5880_0,stationary,32,225.0,team,2026-06-22T15:28:21.886545+00:00
train_242_11418_0,unsure,-2,,team,2026-06-22T15:28:25.337125+00:00
train_228_11334_2,stationary,11,22.5,team,2026-06-22T15:28:30.154842+00:00
train_247_864_4,stationary,-2,,team,2026-06-22T15:28:37.673291+00:00
valid_56_4320_4,slight,16,135.0,team,2026-06-22T15:29:00.224834+00:00
valid_56_4421_3,slight,17,157.5,team,2026-06-22T15:29:09.205770+00:00
train_224_1838_0,unsure,-2,,team,2026-06-22T15:29:12.304575+00:00
train_193_1169_2,stationary,23,67.5,team,2026-06-22T15:29:23.205689+00:00
valid_57_1455_0,stationary,15,112.5,team,2026-06-22T15:29:40.475874+00:00
valid_56_4290_4,slight,16,135.0,team,2026-06-22T15:29:48.344543+00:00
valid_57_302_5,moderate,31,202.5,team,2026-06-22T15:30:08.643336+00:00
valid_57_377_0,moderate,30,180.0,team,2026-06-22T15:30:27.649621+00:00
train_75_840_0,stationary,12,45.0,team,2026-06-22T15:30:35.246868+00:00
test_276_6280_2,unsure,14,90.0,team,2026-06-22T15:30:46.477180+00:00
train_225_7012_0,unsure,-2,,team,2026-06-22T15:30:51.467920+00:00
train_114_7966_1,unsure,-2,,team,2026-06-22T15:30:53.103302+00:00
train_240_2640_1,stationary,30,180.0,team,2026-06-22T15:31:07.966593+00:00
train_189_1332_0,unsure,-2,,team,2026-06-22T15:31:14.855829+00:00
valid_178_2640_12,stationary,31,202.5,team,2026-06-22T15:31:30.038201+00:00
train_236_6924_0,unsure,-2,,team,2026-06-22T15:31:31.962913+00:00
test_263_17446_0,unsure,-2,,team,2026-06-22T15:31:33.755508+00:00
train_251_3848_7,unsure,-2,,team,2026-06-22T15:31:38.349036+00:00
valid_57_1509_7,stationary,14,90.0,team,2026-06-22T15:31:53.987930+00:00
train_190_1588_0,stationary,11,22.5,team,2026-06-22T15:32:16.506407+00:00
test_308_7890_0,unsure,-2,,team,2026-06-22T15:32:32.222669+00:00
test_281_7992_2,stationary,37,337.5,team,2026-06-22T15:32:38.879150+00:00
train_184_4812_0,slight,17,157.5,team,2026-06-22T15:32:45.978021+00:00
train_18_5940_0,unsure,-2,,team,2026-06-22T15:32:50.600969+00:00
train_248_22560_11,unsure,10,0.0,team,2026-06-22T15:32:55.480476+00:00
train_237_6559_0,unsure,-2,,team,2026-06-22T15:33:13.419698+00:00
train_116_5961_1,stationary,10,0.0,team,2026-06-22T15:33:19.863498+00:00
valid_147_10939_5,unsure,10,0.0,team,2026-06-22T15:33:32.854196+00:00
valid_147_10230_4,stationary,25,112.5,team,2026-06-22T15:33:42.377740+00:00
train_249_4416_1,stationary,11,22.5,team,2026-06-22T15:33:48.070620+00:00
valid_57_420_2,slight,32,225.0,team,2026-06-22T15:34:01.098218+00:00
test_314_17653_2,unsure,-2,,team,2026-06-22T15:34:27.025291+00:00
valid_15_4792_1,unsure,14,90.0,team,2026-06-22T15:34:35.965302+00:00
train_80_5260_1,unsure,14,90.0,team,2026-06-22T15:34:45.083151+00:00
valid_10_2509_1,unsure,10,0.0,team,2026-06-22T15:34:51.204114+00:00
train_129_1800_0,stationary,16,135.0,team,2026-06-22T15:34:56.758434+00:00
train_193_1767_3,stationary,36,315.0,team,2026-06-22T15:35:07.447961+00:00
train_44_3750_0,unsure,-2,,team,2026-06-22T15:35:19.229076+00:00
train_101_1831_0,unsure,32,225.0,team,2026-06-22T15:35:29.137353+00:00
train_123_8266_0,stationary,12,45.0,team,2026-06-22T15:35:34.158684+00:00
train_122_5400_0,unsure,37,337.5,team,2026-06-22T15:35:44.491756+00:00
train_189_10054_1,unsure,-2,,team,2026-06-22T15:35:47.669598+00:00
train_52_1950_1,unsure,21,22.5,team,2026-06-22T15:35:56.580312+00:00
valid_15_3105_3,stationary,20,0.0,team,2026-06-22T15:36:02.636399+00:00
train_18_7424_0,stationary,13,67.5,team,2026-06-22T15:36:19.044905+00:00
train_29_3815_0,stationary,13,67.5,team,2026-06-22T15:36:24.885387+00:00
