tracklet_id,flight_id,cls,n_steps,n_obs,mean_dir_deg,R,rayleigh_p,median_inlier,disp_px,trusted
0,0,1,62,63,268.16,0.2621,0.013581,0.6335,635.21,False
1,1,0,63,64,236.84,0.1478,0.25332,0.5306,3381.08,False
2,1,0,10,11,178.76,0.1015,0.906416,0.3724,179.65,False
3,1,0,8,9,195.09,0.2649,0.585363,0.3485,167.15,False
4,1,0,2,3,148.17,0.5911,0.564036,0.3724,24.18,False
5,1,0,23,24,269.29,0.2671,0.195002,0.3875,2632.36,False
6,1,0,15,16,232.29,0.6149,0.002224,0.3875,1230.45,False
7,1,0,23,24,76.2,0.1742,0.5025,0.6342,38.69,False
8,1,0,23,24,319.5,0.1866,0.453873,0.6342,61.15,False
9,1,0,23,24,230.75,0.2234,0.320754,0.6342,33.98,False
10,1,0,21,22,234.87,0.1921,0.466218,0.6259,112.67,False
11,1,0,16,17,292.99,0.1544,0.689391,0.63,46.67,False
12,1,0,16,17,279.21,0.2216,0.462748,0.63,91.9,False
13,2,0,49,50,235.85,0.1824,0.196348,0.4551,1309.62,False
14,2,0,24,25,218.22,0.2303,0.28268,0.4389,1895.92,False
15,2,0,21,22,252.97,0.2763,0.202939,0.4409,748.49,False
16,2,0,29,30,205.63,0.2739,0.113077,0.3797,169.97,False
17,2,0,9,10,148.01,0.1402,0.845334,0.5036,335.18,False
18,2,0,10,11,231.08,0.3732,0.254098,0.3956,77.77,False
19,2,0,15,16,211.4,0.306,0.248988,0.4734,145.56,False
20,2,0,8,9,338.41,0.1841,0.773806,0.6694,112.84,False
21,2,0,7,8,189.34,0.1505,0.862185,0.6282,55.59,False
22,2,0,8,9,125.92,0.1901,0.760662,0.6694,104.29,False
23,2,0,5,6,247.46,0.463,0.361513,0.6282,138.5,False
24,2,0,6,7,219.85,0.4842,0.254715,0.6164,65.91,False
25,3,0,20,21,306.71,0.3631,0.069991,0.4618,1321.54,False
26,3,0,6,7,51.19,0.4136,0.374758,0.4288,61.12,False
27,3,0,52,53,43.94,0.1028,0.57959,0.5291,956.0,False
28,3,0,51,52,4.95,0.0315,0.95097,0.529,966.83,False
29,3,0,5,6,349.95,0.4847,0.326012,0.383,96.32,False
30,3,0,0,1,,0.0,1.0,0.0,0.0,False
31,3,0,0,1,,0.0,1.0,0.0,0.0,False
32,3,0,12,13,237.71,0.322,0.294213,0.4861,372.91,False
33,3,0,4,5,301.29,0.2233,0.83759,0.4434,54.82,False
34,3,0,9,10,144.42,0.2092,0.686536,0.4683,358.48,False
35,3,0,9,10,237.01,0.3124,0.427487,0.4683,265.85,False
36,3,0,17,18,174.9,0.1327,0.74694,0.6388,87.64,False
37,3,0,13,14,246.87,0.0998,0.882636,0.6547,58.39,False
38,3,0,16,17,123.84,0.1816,0.597344,0.6403,115.32,False
39,3,0,13,14,246.71,0.1401,0.781524,0.6547,62.2,False
40,3,0,14,15,199.6,0.2195,0.517639,0.6403,49.29,False
41,3,0,0,1,,0.0,1.0,0.0,0.0,False
42,3,0,1,2,203.56,1.0,0.512221,0.5291,49.93,False
43,6,0,6,7,80.82,0.2677,0.669253,0.908,189.95,False
44,6,0,8,9,118.05,0.2221,0.687512,0.908,230.63,False
45,6,0,20,21,104.36,0.2199,0.384996,0.9111,69.19,False
46,6,0,19,20,103.18,0.162,0.613412,0.9132,76.12,False
47,6,0,49,50,113.36,0.0573,0.852456,0.9078,649.26,False
48,6,0,24,25,167.41,0.2054,0.367003,0.8977,253.43,False
49,6,0,26,27,146.47,0.4128,0.010629,0.8878,362.66,False
50,6,0,24,25,105.18,0.6007,8.1e-05,0.8977,291.24,True
51,6,0,7,8,128.67,0.6319,0.055612,0.895,338.26,False
52,6,0,15,16,172.16,0.1666,0.666947,0.921,255.47,False
53,6,0,24,25,104.07,0.3573,0.045054,0.8878,616.83,False
54,6,0,24,25,64.71,0.2084,0.356367,0.8878,293.46,False
55,6,0,22,23,149.98,0.0966,0.817964,0.8977,181.2,False
56,6,0,6,7,80.17,0.608,0.10647,0.9264,298.26,False
57,6,0,16,17,88.81,0.375,0.104484,0.9046,299.9,False
58,6,0,15,16,111.58,0.1632,0.677973,0.8806,317.53,False
59,6,0,9,10,120.59,0.7047,0.007612,0.9003,212.75,True
60,6,0,4,5,100.6,0.5195,0.364174,0.9282,144.72,False
61,6,0,0,1,,0.0,1.0,0.0,0.0,False
62,6,0,0,1,,0.0,1.0,0.0,0.0,False
63,6,0,32,33,281.71,0.1068,0.697323,0.9065,1020.86,False
64,6,0,23,24,267.97,0.3001,0.125836,0.9221,550.38,False
65,6,0,12,13,283.38,0.4226,0.116488,0.9135,515.36,False
66,6,0,12,13,273.95,0.698,0.001515,0.9075,515.99,True
67,6,0,20,21,255.86,0.3763,0.057046,0.9217,145.47,False
68,6,0,15,16,250.14,0.5114,0.017149,0.9212,414.36,True
69,6,0,12,13,287.77,0.4872,0.054765,0.9202,513.44,False
70,6,0,14,15,259.66,0.3117,0.260926,0.9202,142.69,False
71,6,0,19,20,279.59,0.3436,0.105403,0.9221,363.86,False
