tracklet_id,flight_id,cls,n_steps,n_obs,mean_dir_deg,R,rayleigh_p,median_inlier,disp_px,trusted
0,0,1,62,63,37.66,0.1054,0.504302,0.5049,1061.79,False
1,1,0,63,64,333.1,0.1145,0.439529,0.409,1297.52,False
2,1,0,10,11,210.27,0.407,0.193749,0.4081,94.6,False
3,1,0,8,9,207.5,0.3925,0.301001,0.4081,73.15,False
4,1,0,2,3,159.64,0.6608,0.481404,0.4081,14.95,False
5,1,0,23,24,261.58,0.1293,0.68552,0.2562,1398.3,False
6,1,0,15,16,230.74,0.2741,0.32945,0.2297,64.91,False
7,1,0,23,24,32.99,0.5231,0.001309,0.5818,63.17,True
8,1,0,23,24,6.96,0.512,0.001769,0.5818,77.77,True
9,1,0,23,24,16.89,0.2564,0.22217,0.5818,52.98,False
10,1,0,21,22,346.31,0.272,0.213262,0.5821,94.15,False
11,1,0,16,17,40.54,0.0984,0.860419,0.5789,58.22,False
12,1,0,16,17,340.14,0.1149,0.814507,0.5789,80.81,False
13,2,0,49,50,57.92,0.2416,0.056501,0.2671,1450.66,False
14,2,0,24,25,68.1,0.3868,0.025894,0.2743,547.96,False
15,2,0,21,22,48.88,0.2529,0.263866,0.2671,398.92,False
16,2,0,29,30,29.38,0.4305,0.003901,0.2908,532.09,False
17,2,0,9,10,71.57,0.3416,0.360116,0.2815,125.54,False
18,2,0,10,11,48.41,0.1982,0.686082,0.2505,11.65,False
19,2,0,15,16,353.01,0.2529,0.389737,0.3402,271.02,False
20,2,0,8,9,308.13,0.2403,0.644331,0.3534,119.2,False
21,2,0,7,8,230.06,0.1367,0.88503,0.364,59.36,False
22,2,0,8,9,119.06,0.1578,0.828614,0.3534,105.02,False
23,2,0,5,6,248.87,0.4655,0.357311,0.3429,140.21,False
24,2,0,6,7,219.54,0.4822,0.257782,0.3534,68.41,False
25,3,0,20,21,301.38,0.2958,0.17483,0.2759,910.65,False
26,3,0,6,7,114.21,0.1803,0.834778,0.378,44.28,False
27,3,0,52,53,80.74,0.0481,0.887415,0.4014,463.76,False
28,3,0,51,52,220.31,0.0517,0.873453,0.4228,379.43,False
